,step,govt_action,action_loc,violence_aftermath
0,1,INDISC-REPR,"(0, 0)",10
1,2,NONE,"(0, 0)",10
2,3,NONE,"(0, 0)",9
3,4,NONE,"(0, 0)",8
4,5,TARG-REPR,"(1, 0)",7
5,6,NONE,"(0, 0)",10
6,7,NONE,"(0, 0)",10
7,8,NONE,"(0, 0)",9
8,9,NONE,"(0, 0)",8
9,10,TARG-CONC,"(0, 3)",10
10,11,INDISC-REPR,"(0, 0)",9
11,12,NONE,"(0, 0)",8
12,13,NONE,"(0, 0)",10
13,14,TARG-CONC,"(1, 3)",9
14,15,NONE,"(0, 0)",8
15,16,NONE,"(0, 0)",7
16,17,NONE,"(0, 0)",6
17,18,TARG-REPR,"(0, 2)",10
18,19,NONE,"(0, 0)",10
19,20,TARG-REPR,"(2, 3)",9
20,21,TARG-CONC,"(0, 0)",8
21,22,NONE,"(0, 0)",10
22,23,TARG-CONC,"(0, 1)",9
23,24,INDISC-CONC,"(0, 0)",10
24,25,INDISC-REPR,"(0, 0)",9
25,26,NONE,"(0, 0)",8
26,27,NONE,"(0, 0)",7
27,28,INDISC-REPR,"(0, 0)",10
28,29,INDISC-REPR,"(0, 0)",9
29,30,NONE,"(0, 0)",10
30,31,INDISC-REPR,"(0, 0)",10
31,32,NONE,"(0, 0)",9
32,33,NONE,"(0, 0)",8
33,34,NONE,"(0, 0)",10
34,35,NONE,"(0, 0)",10
35,36,NONE,"(0, 0)",9
36,37,INDISC-CONC,"(0, 0)",8
37,38,NONE,"(0, 0)",10
38,39,NONE,"(0, 0)",9
39,40,NONE,"(0, 0)",10
40,41,NONE,"(0, 0)",10
41,42,NONE,"(0, 0)",10
42,43,NONE,"(0, 0)",10
43,44,NONE,"(0, 0)",9
44,45,NONE,"(0, 0)",10
45,46,NONE,"(0, 0)",10
46,47,NONE,"(0, 0)",9
47,48,NONE,"(0, 0)",8
48,49,NONE,"(0, 0)",10
49,50,TARG-REPR,"(1, 2)",9
50,51,INDISC-REPR,"(0, 0)",8
51,52,NONE,"(0, 0)",10
52,53,INDISC-CONC,"(0, 0)",10
53,54,TARG-REPR,"(1, 3)",10
54,55,NONE,"(0, 0)",10
55,56,NONE,"(0, 0)",10
56,57,TARG-CONC,"(2, 0)",9
57,58,NONE,"(0, 0)",10
58,59,NONE,"(0, 0)",9
59,60,TARG-REPR,"(1, 1)",10
60,61,NONE,"(0, 0)",10
61,62,INDISC-CONC,"(0, 0)",10
62,63,NONE,"(0, 0)",10
63,64,TARG-REPR,"(2, 3)",10
64,65,TARG-REPR,"(2, 2)",9
65,66,TARG-REPR,"(2, 2)",10
66,67,TARG-REPR,"(2, 0)",10
67,68,NONE,"(0, 0)",9
68,69,NONE,"(0, 0)",10
69,70,NONE,"(0, 0)",10
70,71,NONE,"(0, 0)",10
71,72,INDISC-REPR,"(0, 0)",10
72,73,INDISC-CONC,"(0, 0)",10
73,74,NONE,"(0, 0)",10
74,75,NONE,"(0, 0)",10
75,76,NONE,"(0, 0)",10
76,77,TARG-CONC,"(2, 1)",10
77,78,NONE,"(0, 0)",10
78,79,NONE,"(0, 0)",10
79,80,TARG-REPR,"(0, 0)",10
80,81,TARG-REPR,"(1, 3)",10
81,82,NONE,"(0, 0)",10
82,83,NONE,"(0, 0)",10
83,84,NONE,"(0, 0)",10
84,85,TARG-REPR,"(2, 3)",10
85,86,NONE,"(0, 0)",10
86,87,TARG-REPR,"(0, 3)",10
87,88,NONE,"(0, 0)",10
88,89,TARG-CONC,"(2, 0)",10
89,90,INDISC-REPR,"(0, 0)",10
90,91,TARG-REPR,"(1, 3)",10
91,92,NONE,"(0, 0)",10
92,93,TARG-CONC,"(1, 0)",10
93,94,NONE,"(0, 0)",10
94,95,NONE,"(0, 0)",10
95,96,NONE,"(0, 0)",10
96,97,INDISC-CONC,"(0, 0)",10
97,98,NONE,"(0, 0)",9
98,99,NONE,"(0, 0)",10
99,100,TARG-REPR,"(1, 3)",10
100,101,NONE,"(0, 0)",10
101,102,NONE,"(0, 0)",10
102,103,TARG-CONC,"(2, 2)",10
103,104,NONE,"(0, 0)",10
104,105,NONE,"(0, 0)",10
105,106,NONE,"(0, 0)",10
106,107,TARG-CONC,"(0, 1)",10
107,108,NONE,"(0, 0)",10
108,109,NONE,"(0, 0)",10
109,110,INDISC-REPR,"(0, 0)",10
110,111,NONE,"(0, 0)",10
111,112,INDISC-REPR,"(0, 0)",10
112,113,INDISC-REPR,"(0, 0)",10
113,114,NONE,"(0, 0)",10
114,115,NONE,"(0, 0)",10
115,116,TARG-REPR,"(0, 0)",10
116,117,INDISC-CONC,"(0, 0)",10
117,118,NONE,"(0, 0)",10
118,119,NONE,"(0, 0)",9
119,120,INDISC-CONC,"(0, 0)",10
120,121,TARG-CONC,"(0, 3)",10
121,122,INDISC-REPR,"(0, 0)",9
122,123,NONE,"(0, 0)",10
123,124,INDISC-CONC,"(0, 0)",10
124,125,TARG-CONC,"(2, 1)",10
125,126,NONE,"(0, 0)",10
126,127,TARG-CONC,"(0, 2)",10
127,128,NONE,"(0, 0)",10
128,129,NONE,"(0, 0)",10
129,130,NONE,"(0, 0)",10
130,131,NONE,"(0, 0)",10
131,132,NONE,"(0, 0)",10
132,133,NONE,"(0, 0)",10
133,134,NONE,"(0, 0)",10
134,135,NONE,"(0, 0)",10
135,136,NONE,"(0, 0)",10
136,137,NONE,"(0, 0)",10
137,138,TARG-CONC,"(2, 3)",10
138,139,NONE,"(0, 0)",10
139,140,TARG-CONC,"(2, 0)",10
140,141,TARG-REPR,"(1, 1)",10
141,142,TARG-CONC,"(2, 2)",10
142,143,TARG-REPR,"(0, 0)",10
143,144,TARG-REPR,"(0, 3)",10
144,145,NONE,"(0, 0)",10
145,146,NONE,"(0, 0)",10
146,147,NONE,"(0, 0)",10
147,148,INDISC-CONC,"(0, 0)",10
148,149,NONE,"(0, 0)",10
149,150,NONE,"(0, 0)",10
150,151,NONE,"(0, 0)",10
151,152,NONE,"(0, 0)",10
152,153,INDISC-CONC,"(0, 0)",10
153,154,NONE,"(0, 0)",10
154,155,NONE,"(0, 0)",10
155,156,NONE,"(0, 0)",10
156,157,NONE,"(0, 0)",10
157,158,NONE,"(0, 0)",10
158,159,NONE,"(0, 0)",10
159,160,NONE,"(0, 0)",10
160,161,INDISC-CONC,"(0, 0)",10
161,162,NONE,"(0, 0)",10
162,163,NONE,"(0, 0)",10
163,164,INDISC-CONC,"(0, 0)",10
164,165,TARG-CONC,"(1, 0)",10
165,166,NONE,"(0, 0)",10
166,167,NONE,"(0, 0)",10
167,168,TARG-CONC,"(0, 0)",10
168,169,TARG-REPR,"(1, 1)",10
169,170,NONE,"(0, 0)",10
170,171,INDISC-CONC,"(0, 0)",10
171,172,NONE,"(0, 0)",10
172,173,NONE,"(0, 0)",10
173,174,NONE,"(0, 0)",10
174,175,NONE,"(0, 0)",10
175,176,TARG-CONC,"(2, 2)",10
176,177,NONE,"(0, 0)",10
177,178,NONE,"(0, 0)",10
178,179,TARG-REPR,"(2, 2)",10
179,180,TARG-REPR,"(0, 2)",10
180,181,NONE,"(0, 0)",10
181,182,NONE,"(0, 0)",10
182,183,TARG-CONC,"(1, 1)",10
183,184,NONE,"(0, 0)",10
184,185,NONE,"(0, 0)",10
