,num_agents,num_attacks
0,200,44
1,159,47
2,156,47
3,160,47
4,163,47
5,168,50
6,167,51
7,166,51
8,167,51
9,170,52
10,169,52
11,170,52
12,173,53
13,174,53
14,176,53
15,179,53
16,184,53
17,187,54
18,188,56
19,190,56
20,191,56
21,194,58
22,197,58
23,201,61
24,202,61
25,204,61
26,209,61
27,213,63
28,215,63
29,219,64
30,218,65
31,221,65
32,224,65
33,227,66
34,229,67
35,235,67
36,238,67
37,243,68
38,244,68
39,245,69
40,250,70
41,253,71
42,260,72
43,262,72
44,265,73
45,272,79
46,266,79
47,271,79
48,278,80
49,278,80
50,286,80
51,287,81
52,293,83
53,299,84
54,302,85
55,307,87
56,308,87
57,316,90
58,318,90
59,325,92
60,331,96
61,327,97
62,327,98
63,335,101
64,337,101
65,345,105
66,348,109
67,349,109
68,349,110
69,352,112
70,353,113
71,363,115
72,363,120
73,364,121
74,365,122
75,370,124
76,378,130
77,378,135
78,378,136
79,382,137
80,391,141
81,390,145
82,388,150
83,394,153
84,393,158
85,394,163
86,394,164
87,395,166
88,395,170
89,403,177
90,397,182
91,394,190
92,391,192
93,392,194
94,399,200
95,398,201
96,408,211
97,402,211
98,408,213
99,418,217
100,421,225
101,419,233
102,415,235
103,413,238
104,415,244
105,415,248
106,415,256
107,413,263
108,416,271
109,415,274
110,423,285
111,413,289
112,410,295
113,408,321
114,386,332
115,375,333
116,377,343
117,370,347
118,368,347
119,373,348
120,380,351
121,382,351
122,388,358
123,390,363
124,385,364
125,395,369
126,394,370
127,393,372
128,394,375
129,399,377
130,402,380
131,399,385
132,396,390
133,395,395
134,393,397
135,393,403
136,391,411
137,391,417
138,394,422
139,397,425
140,405,431
141,403,437
142,409,451
143,396,456
144,396,466
145,398,474
146,396,485
147,397,494
148,395,502
149,398,505
150,398,508
151,398,509
152,405,516
153,398,520
154,399,524
155,403,529
156,407,532
157,415,538
158,418,546
159,411,552
160,407,555
161,414,558
162,423,562
163,422,563
164,422,565
165,429,569
166,425,571
167,432,586
168,422,593
169,415,613
170,396,620
171,399,626
172,402,628
173,401,633
174,406,639
175,406,648
176,401,656
177,395,662
178,399,676
179,395,687
180,389,695
181,392,708
182,389,721
183,383,727
184,381,732
185,386,739
186,380,748
187,378,753
188,379,764
189,375,774
190,375,778
191,375,783
192,375,786
193,380,791
194,384,795
195,386,802
196,387,802
197,399,806
198,403,811
199,408,816
200,407,823
201,400,834
202,398,837
203,404,838
204,408,839
205,412,843
206,418,846
207,415,846
208,417,847
209,426,853
210,431,865
211,425,873
