,step_cat,status,num_agents,step
1,1,anti-violence,49,1
2,1,combatant,58,1
3,1,neutral,44,1
4,1,sympathetic,49,1
6,10,anti-violence,70,10
7,10,combatant,2,10
8,10,neutral,55,10
9,10,sympathetic,26,10
11,100,anti-violence,284,100
12,100,combatant,6,100
13,100,neutral,67,100
14,100,sympathetic,41,100
16,101,anti-violence,278,101
17,101,combatant,5,101
18,101,neutral,68,101
19,101,sympathetic,43,101
21,102,anti-violence,276,102
22,102,combatant,11,102
23,102,neutral,71,102
24,102,sympathetic,41,102
26,103,anti-violence,276,103
27,103,combatant,7,103
28,103,neutral,71,103
29,103,sympathetic,49,103
31,104,anti-violence,270,104
32,104,combatant,7,104
33,104,neutral,81,104
34,104,sympathetic,50,104
36,105,anti-violence,264,105
37,105,combatant,10,105
38,105,neutral,88,105
39,105,sympathetic,47,105
41,106,anti-violence,264,106
42,106,combatant,9,106
43,106,neutral,87,106
44,106,sympathetic,51,106
46,107,anti-violence,261,107
47,107,combatant,5,107
48,107,neutral,91,107
49,107,sympathetic,53,107
51,108,anti-violence,261,108
52,108,combatant,9,108
53,108,neutral,93,108
54,108,sympathetic,56,108
56,109,anti-violence,261,109
57,109,combatant,3,109
58,109,neutral,96,109
59,109,sympathetic,62,109
61,11,anti-violence,73,11
62,11,combatant,1,11
63,11,neutral,57,11
64,11,sympathetic,25,11
66,110,anti-violence,265,110
67,110,combatant,2,110
68,110,neutral,93,110
69,110,sympathetic,65,110
71,111,anti-violence,260,111
72,111,combatant,3,111
73,111,neutral,100,111
74,111,sympathetic,67,111
76,112,anti-violence,256,112
77,112,combatant,5,112
78,112,neutral,101,112
79,112,sympathetic,65,112
81,113,anti-violence,253,113
82,113,combatant,5,113
83,113,neutral,103,113
84,113,sympathetic,69,113
86,114,anti-violence,252,114
87,114,neutral,106,114
88,114,sympathetic,73,114
90,115,anti-violence,254,115
91,115,combatant,15,115
92,115,neutral,104,115
93,115,sympathetic,69,115
95,116,anti-violence,254,116
96,116,combatant,13,116
97,116,neutral,105,116
98,116,sympathetic,71,116
100,117,anti-violence,252,117
101,117,combatant,6,117
102,117,neutral,110,117
103,117,sympathetic,73,117
105,118,anti-violence,255,118
106,118,combatant,6,118
107,118,neutral,106,118
108,118,sympathetic,75,118
110,119,anti-violence,254,119
111,119,combatant,9,119
112,119,neutral,102,119
113,119,sympathetic,79,119
115,12,anti-violence,74,12
116,12,combatant,1,12
117,12,neutral,57,12
118,12,sympathetic,26,12
120,120,anti-violence,250,120
121,120,combatant,3,120
122,120,neutral,104,120
123,120,sympathetic,84,120
125,121,anti-violence,249,121
126,121,combatant,5,121
127,121,neutral,107,121
128,121,sympathetic,82,121
130,122,anti-violence,247,122
131,122,combatant,12,122
132,122,neutral,107,122
133,122,sympathetic,80,122
135,123,anti-violence,246,123
136,123,combatant,13,123
137,123,neutral,105,123
138,123,sympathetic,80,123
140,124,anti-violence,247,124
141,124,combatant,12,124
142,124,neutral,103,124
143,124,sympathetic,86,124
145,125,anti-violence,246,125
146,125,combatant,11,125
147,125,neutral,107,125
148,125,sympathetic,84,125
150,126,anti-violence,253,126
151,126,combatant,5,126
152,126,neutral,106,126
153,126,sympathetic,89,126
155,127,anti-violence,247,127
156,127,combatant,10,127
157,127,neutral,111,127
158,127,sympathetic,93,127
