model with params (0.001, 'NONE', 'high', 'high', 300, 200) took 0.0754249095916748 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 300, 300) took 0.12978100776672363 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 300, 500) took 0.1827704906463623 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 300, 700) took 0.24183034896850586 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 300, 900) took 0.3107185363769531 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 600, 200) took 0.38849687576293945 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 600, 300) took 0.4430117607116699 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 600, 500) took 0.4983863830566406 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 600, 700) took 0.5556344985961914 to run on rank 5
model with params (0.001, 'NONE', 'high', 'high', 600, 900) took 0.6278266906738281 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 300, 200) took 0.6738214492797852 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 300, 300) took 0.7219407558441162 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 300, 500) took 0.7726643085479736 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 300, 700) took 0.8252508640289307 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 300, 900) took 0.8962371349334717 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 600, 200) took 0.9611618518829346 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 600, 300) took 1.021838665008545 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 600, 500) took 1.1192805767059326 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 600, 700) took 1.2147846221923828 to run on rank 5
model with params (0.001, 'NONE', 'high', 'mid', 600, 900) took 1.3268263339996338 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 300, 200) took 1.3664929866790771 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 300, 300) took 1.410926103591919 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 300, 500) took 1.4660835266113281 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 300, 700) took 1.5530600547790527 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 300, 900) took 1.6934144496917725 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 600, 200) took 1.7565631866455078 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 600, 300) took 1.833019733428955 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 600, 500) took 1.9120581150054932 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 600, 700) took 2.0299084186553955 to run on rank 5
model with params (0.001, 'NONE', 'high', 'low', 600, 900) took 2.1109671592712402 to run on rank 5
model with params (0.001, 'NONE', 'mid-high', 'high', 300, 200) took 2.1859874725341797 to run on rank 5
model with params (0.001, 'NONE', 'mid-high', 'high', 300, 300) took 2.2359910011291504 to run on rank 5
model with params (0.001, 'NONE', 'mid-high', 'high', 300, 500) took 2.2832510471343994 to run on rank 5
model with params (0.001, 'NONE', 'mid-high', 'high', 300, 700) took 2.3331263065338135 to run on rank 5
model with params (0.001, 'NONE', 'mid-high', 'high', 300, 900) took 2.392747163772583 to run on rank 5
model with params (0.001, 'NONE', 'mid-high', 'high', 600, 200) took 2.4471094608306885 to run on rank 5
